scheme_id,scheme_name,scheme_type,description,official_link
1,Pradhan Mantri Jan Dhan Yojana,Government,Zero balance bank accounts for financial inclusion,https://pmjdy.gov.in
2,Ayushman Bharat Yojana,Government,Health insurance up to 5 lakh per family,https://pmjay.gov.in
3,PM Kisan Samman Nidhi,Government,Income support for farmers,https://pmkisan.gov.in
4,PM Awas Yojana Rural,Government,Housing assistance for rural poor,https://pmayg.nic.in
5,PM Awas Yojana Urban,Government,Affordable housing for urban poor,https://pmaymis.gov.in
6,PM Ujjwala Yojana,Government,Free LPG gas connections,https://www.pmuy.gov.in
7,Atal Pension Yojana,Government,Pension scheme for unorganized workers,https://www.npscra.nsdl.co.in
8,MGNREGA,Government,Guaranteed wage employment in rural areas,https://nrega.nic.in
9,PM Kaushal Vikas Yojana,Government,Skill development for youth,https://www.pmkvyofficial.org
10,MUDRA Loan Scheme,Government,Loans for micro businesses,https://www.mudra.org.in
11,Beti Bachao Beti Padhao,Government,Girl child welfare and education,https://wcd.nic.in
12,PM Fasal Bima Yojana,Government,Crop insurance for farmers,https://pmfby.gov.in
13,National Old Age Pension Scheme,Government,Pension for senior citizens,https://nsap.nic.in
14,National Disability Pension Scheme,Government,Pension for persons with disabilities,https://nsap.nic.in
15,National Widow Pension Scheme,Government,Pension assistance for widows,https://nsap.nic.in
16,Skill India Mission,Government,National skill development program,https://skillindia.gov.in
17,Startup India,Government,Support for startups,https://www.startupindia.gov.in
18,Sukanya Samriddhi Yojana,Government,Savings scheme for girl child,https://www.india.gov.in
19,Digital India Programme,Government,Digital services and infrastructure,https://digitalindia.gov.in
20,Jal Jeevan Mission,Government,Tap water connections to households,https://jaljeevanmission.gov.in
21,Swachh Bharat Mission,Government,Sanitation and cleanliness drive,https://swachhbharatmission.gov.in
22,PM SVANidhi,Government,Loan support for street vendors,https://pmsvanidhi.mohua.gov.in
23,E-Shram Portal,Government,Social security for unorganized workers,https://eshram.gov.in
24,National Scholarship Portal,Government,Scholarships for students,https://scholarships.gov.in
25,Mid Day Meal Scheme,Government,Free meals for school students,https://www.education.gov.in
26,National Health Mission,Government,Public healthcare strengthening,https://nhm.gov.in
27,National Pension System,Government,Retirement savings scheme,https://www.npscra.nsdl.co.in
28,PM Vishwakarma Yojana,Government,Support for artisans and craftsmen,https://www.myscheme.gov.in
29,One Nation One Ration Card,Government,Portable ration benefits,https://www.myscheme.gov.in
30,Accessible India Campaign,Government,Accessibility for persons with disabilities,https://www.india.gov.in

31,Tata Scholarship Program,Private,Scholarships for underprivileged students,https://www.tatatrusts.org
32,Reliance Foundation Scholarship,Private,Merit based education scholarship,https://www.reliancefoundation.org
33,Infosys Foundation Education Program,Private,Education support initiatives,https://www.infosysfoundation.org
34,Wipro Cares Education Scheme,Private,CSR based education support,https://www.wipro.com
35,HDFC Parivartan CSR,Private,Community and education development,https://www.hdfcbank.com
36,ICICI Foundation Education Initiative,Private,Skill and education development,https://www.icicifoundation.org
37,SBI Student Loan Scheme,Private,Education loans for students,https://sbi.co.in
38,Axis Bank Education Loan,Private,Financial support for higher studies,https://www.axisbank.com
39,LIC Arogya Rakshak Policy,Private,Affordable health insurance,https://licindia.in
40,Star Health Insurance Scheme,Private,Private health insurance coverage,https://www.starhealth.in
41,Apollo Aarogyam Scheme,Private,Affordable healthcare services,https://www.apollohospitals.com
42,Bajaj Allianz Health Guard,Private,Comprehensive health insurance,https://www.bajajallianz.com
43,Tata AIG Health Insurance,Private,Medical insurance support,https://www.tataaig.com
44,Max Life Insurance Plan,Private,Life insurance protection,https://www.maxlifeinsurance.com
45,Google Career Certificates India,Private,Online job skill certification,https://grow.google
46,Microsoft Skill India Initiative,Private,Digital and IT skill training,https://www.microsoft.com
47,Amazon Future Engineer India,Private,STEM education for students,https://www.amazonfutureengineer.com
48,Flipkart Samarth Program,Private,Support for small sellers,https://seller.flipkart.com
